a ま
eiaau めしあがる
eiaeu めしあげる
eiaaeu めしかかえる
eiuu めしぐす
eiau めしだす
eiou めしとる
eioeu めしよせる
eiuu めし粒
eio めじろ
eioai めじろ台
eiauo めじ鮪
eu めす
euaii めずらしい
eoeo めそめそ
eaa めだか
eau めだつ
eaua めちゃくちゃ
eaea めちゃめちゃ
eai めっかち
eii めっきり
eien めっき線
eeono めっけ物
euu めっする
ea めった
eani めったに
ea めっちゃ
eo- めっぽう
eo-ai めっぽうかい
euai めづらい
eeai めでたい
eeu めでる
eou めとる
eo めど
enaeu めなれる
eaeu めばえる
euu めぶく
eoii めぼしい
eai めまい
eauuii めまぐるしい
eeii めめしい
eou めもる
eau めやす
eaea めらめら
eiou めりこむ
eiou めり込む
eon めろん
en めん
enuau めんくらう
eniu めんじる
enuu めんする
enuu めんずる
eno- めんどう
enouai めんどくさい
enou めんぼく
enui めん食い
enoi めん鳥
eno- めん棒
enou めん棒
enui めん類
eaeu めキャベツ
ooo もゝよ
ooo もゝ子
o- もう
o-uoi もう少し
oeaau もえあがる
oeuuu もえうつる
oei もえぎ
oeinoai もえぎ野台
oeaau もえさかる
oeau もえたつ
oeuiu もえつきる
oeuu もえつく
oeeu もえでる
oeioau もえひろがる
oeu もえる
o- もぉ
oau もがく
oaeu もがける
oiou もぎとる
oioeu もぎとれる
oiu もぎる
oieu もぎれる
oiou もぎ取る
oioeu もぎ取れる
oioou もぎ落とす
ouo もくぎょ
ouuu もくする
ouou もくもく
ououo もくもくと
ouanii もくらんじき
ouou もくろむ
ouei もく星
ou もぐ
ouou もぐもぐ
oua もぐら
ouu もぐる
oeu もげる
oooaa もこと山
oooo もごもご
oi もし
oiaie もしかして
oio もしほ
oioi もしもし
oaoa もしゃもしゃ
oia もしや
oioi もじもじ
oaoa もじゃもじゃ
oaoa もじゃもじゃ
oiu もじる
ou もす
ouo もすそ
ooo もそっと
oooo もそもそ
oooo もぞもぞ
oaeu もたげる
oau もたす
oaeaeu もたせ掛ける
oaui もたつき
oauu もたつく
oaoa もたもた
oaau もたらす
oaeai もたれ合い
oaeu もだえる
oau もだす
oi もち
oiai もちあい
oiaaeu もちあわせる
oiiu もちいる
oiaeu もちかえる
oioeu もちこめる
oiau もちさる
oiau もちだす
oiaeu もちだせる
oinaou もちなおす
oinoi もちの木
oiaou もちはこぶ
oiaoeu もちはこべる
oiaau もちまわる
oiaaeu もちまわれる
oiou もちよる
oioeu もちよれる
oion もちろん
oia もち屋
oiai もち菓子
oiii もち吉
oiae もち前
oiaa もち肌
oioe もち米
oiai もち味
oenoaiai もっけの幸い
oai もっさり
oainai もったいない
oaiaii もったいらしい
oe もって
oenooa もっての外
oo もっと
ooo もっとも
ou もつ
ou もつ
oueau もつれあう
oueou もつれ込む
oeaou もてあそぶ
oeaau もてあます
oenai もてなし
oenau もてなす
oeaau もてはやす
oeu もてる
oo もと
oo もと
oo もと
oo もと
ooo もとこ
oouu もとづく
oonoouai もとの木阿彌
oou もとぶ
ooau もとまる
ooeu もとめる
oou もとる
ooe もとゑ
ooo もと子
ooaii もどかしい
oou もどく
oou もどす
ooeu もどせる
oou もどる
ooeu もどれる
onuenoaa もぬけの殻
ono もの
ono もの
ono もの
onouu ものいう
onoui ものうい
onooooii ものおそろしい
onooou ものおもう
onoaai ものがたい
onouuoii ものぐるおしい
onoai ものさし
onouaaii ものすさまじい
onoaanai ものたらない
onoainai ものたりない
ononaeu ものなれる
ononoe ものの怪
onoiaai ものみだかい
onoonoii ものものしい
onooo もの音
onooooii もの恐ろしい
onouui もの狂い
onoaai もの堅い
onoi- もの言い
onoaiii もの寂しい
onoo-u もの申す
onouoi もの凄い
onouaaii もの凄まじい
onoeuaii もの珍しい
onoui もの売り
onoanaii もの悲しい
onoaae もの別れ
onoou もの問う
onoui もの憂い
onoaiii もの淋しい
oi もみ
oiau もみあう
oiua もみくちゃ
oieeu もみけせる
oiiaoa もみじが丘
oiiaiia もみじ台北
oinoiai もみの木台
oiau もみ合う
oie もみ手
oiei もみ消し
oieeu もみ消せる
oiae もみ上げ
ou もむ
oeoo もめごと
oeu もめる
oeoo もめ事
oo もも
ooo ももこ
ooo ももよ
oona- ももんがあ
ooni- ももんじい
ooa もも香
ooo もも子
ooniu もも肉
oai もやい
oau もやう
oai もやし
oaeu もやせる
oaoa もやもや
oo-i もよおし
ooou もよおす
ooi もより
oaii もらい火
oaiono もらい物
oau もらう
oaeu もらえる
oau もらす
oiaau もりあがる
oiaaeu もりあわせる
oiaeu もりかえす
oioou もりころす
oiaeu もりたてる
oiuuu もりつぶす
oioi もりもり
oiaano- もりや産業
oiaeu もりわける
oie もりゑ
oio もり子
oiaeu もり立てる
ou もる
oe もれ
oeiu もれきく
oenau もれなく
oeu もれる
oeiu もれ聞く
ooi もろい
ooa もろさ
ooni もろに
ooi もろみ
oooo もろもろ
ooai もろ差し
ooe もろ手
ooa もろ刃
ooaa もろ肌
on もん
on もん
ona もんじゃ
onu もんじゅ
onoi もんどり
one もんぺ
oon も本
a-a マーカ
a-uoo マールボロ
aai マアジ
ai マイ
aiai マイアミ
aia- マイカー
aiau マイカル
aiu マイク
aiuon マイクロン
aieu マイケル
aieuoioa マイケル富岡
aion マイコン
aioni'iio-o マイコンシティ事業所
aiiin マイシリン
aiua-eniniainu マイスターエンジニアリング
aiu マイズ
aiu マイズ
aien マイセン
aiau マイダス
aio マイト
aina- マイナー
ainau マイナス
aininu マイニング
aineueuu マイネルゼウス
ainoi'i- マイノリティー
aieuua マイヘルス社
aieu マイベル
aie-u マイペース
aio-u マイホーム
aia マイヤ
aia-u マイヤーズ
aiu マイル
aiu マイル
aiai マイワシ
ain マイン
aino マインド
ainoonoo-u マインドコントロール
aui マウイ
auu マウス
auo マウロ
aunen マウンテン
auno マウント
auno マウンド
ao- マオウ
aoi マオリ
aao マカオ
aaau マカッサル
aai- マカリー
aaoni マカロニ
aain マガジン
aainau マガジンラック
aao マガモ
aaei マガレイ
ai マキ
ai マキ
aiaeiuu マキアベリズム
aiai マキガイ
aio マキコ
aiiau マキシマム
aiino- マキシンコー
aia マキタ
aia マキタ
aino マキノ
ainouan マキノ出版
aiua マキムラ
aia マキヤ
aio マキ子
aieiauo マキ製作所
ai- マギー
ai-ineno マギーミネンコ
auei マクセイ
aueueii マクセル精器
aua-oo マクダーモット
auonauo マクドナルド
aunia マクニカ
aunin マクニン
aua-en マクファーレン
aueu マクベス
aua-o マクマード
auenain マクメナミン
auoaiaa マクヨマイ川
aua-en マクラーレン
auouoea マクロプロセッサ
auaui マクワウリ
auaniau マクワンチサップ
aui マグディ
aunaaua マグナカルタ
auneo マグネット
aua マグマ
auio マグリット
auo マグロ
aeonia マケドニア
aeoniao-aou マケドニア共和国
ao-au マコーマック
ao-iu マコーリフ
aoo マコト
aoo マコモ
aoi マゴイ
aoao-ui マゴタロウムシ
aa マサ
aai マサイ
aae マサエ
aai マサキ
aao マサコ
aaa マサダ
aau-eu マサチューセッツ
aau-euo-aaiau マサチューセッツ工科大学
aano マサノ
aai マサミ
aaune マサムネ
aao マサヨ
aau マサル
aae マサヱ
aao マサヲ
